Title,description,Poster
Rosemary's Baby,A young couple moves into an infamous New York apartment building to start a family. Things become frightening as Rosemary begins to suspect her unborn baby isn't safe around their strange neighbors.,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ3OTI5NzIzNF5BMl5BanBnXkFtZTgwNTc4NTQ0MTE@._V1_UY268_CR12,0,182,268_AL_.jpg"
Meteor,"After a collision with a comet, a nearly 8km wide piece of the asteroid ""Orpheus"" is heading towards Earth. If it will hit it will cause a incredible catastrophe which will probably extinguish mankind. To stop the meteor NASA wants to use the illegal nuclear weapon satellite ""Hercules"" but discovers soon that it doesn't have enough fire power. Their only chance to save the world is to join forces with the USSR who have also launched such an illegal satellite. But will both governments agree?","https://images-na.ssl-images-amazon.com/images/M/MV5BNTE0NjQ5MzY2N15BMl5BanBnXkFtZTcwNzY0ODA0Mg@@._V1_UY268_CR99,0,182,268_AL_.jpg"
Life,Two men in 1930s Mississippi become friends after being sentenced to life in prison together for a crime they did not commit.,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzc0NzY3MjA0Nl5BMl5BanBnXkFtZTcwNTE3NzQyMw@@._V1._CR0,1,361,471_UY268_CR11,0,182,268_AL_.jpg"
Mildred Pierce,"After her cheating husband leaves her, Mildred Pierce proves she can become independent and successful, but can't win the approval of her spoiled daughter.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxMTI3MDA2NV5BMl5BanBnXkFtZTcwMjkwODU2NA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
Funny Farm,"Chevy Chase stars as Andy Farmer, a sportswriter who moves with his schoolteacher wife Elizabeth (Madolyn Smith) to the country in order to write a novel in relative seclusion. Of course, seclusion is the last thing the Farmers find in the small, eccentric town, where disaster awaits them at every turn.","https://images-na.ssl-images-amazon.com/images/M/MV5BNDhjOTE3YmYtNThjMC00MjdiLWFkZWMtNTM4ZjBkM2FhNDgzXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
Joan of Arc,In 1429 a teenage girl from a remote French village stood before her King with a message she claimed came from God; that she would defeat the world's greatest army and liberate her country from its political and religious turmoil. Following her mission to reclaim god's dimished kingdom - through her amazing victories until her violent and untimely death.,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2MTUzOTg4OF5BMl5BanBnXkFtZTcwODY1NjIyMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg"
Voyage of the Damned,A luxury liner carries Jewish refugees from Hitler's Germany in a desperate fight for survival.,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDBmZGRmZmQtOTIwMC00N2Q2LTk1MjYtNjFlMGQyMDFmNzkxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAzOTQ2ODU@._V1_UY268_CR1,0,182,268_AL_.jpg"
Titanic,"Unhappily married, Julia Sturges decides to go to America with her two children on the unsinkable Titanic. Her husband, Richard also arranges passage on the luxury liner so as to have custody of their two children. All this fades to insignificance once the ship hits an iceberg.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTIyNjc0NjgyMl5BMl5BanBnXkFtZTcwMDAzMTAzMQ@@._V1_UY268_CR5,0,182,268_AL_.jpg"
Impact,"No-nonsense San Francisco industrial whiz Walter Williams's two-timing wife and her lover plot to do her husband in, but Williams survives the ""accident"" and the lover is burned beyond recognition while driving Williams's car. Half-dazed, Williams stumbles into a moving van that takes him to idyllic Larkspur, Idaho, where newspaper stories of his ""death"" jog his memory. While recuperating and plotting his eventual return and revenge, Williams falls in love with Marsha, an auto mechanic. But when Williams finally gets back to San Francisco, he's charged with the lover's murder.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1MDY4NjM5N15BMl5BanBnXkFtZTcwMzc3NTY1Mg@@._V1_UY268_CR4,0,182,268_AL_.jpg"
Cleopatra,"Historical epic. The triumphs and tragedy of the Egyptian queen, Cleopatra.The winner of four Oscars, this epic saga of love, greed and betrayal stars Elizabeth Taylor as the passionate and ambitious Egyptian queen who's determined to hold on to the throne and seduces the Roman emperor Julius Caesar (Rex Harrison). When Caesar is murdered, she redirects her attentions to his general, Marc Antony (Richard Burton), who vows to take power -- but Caesar's successor (Roddy McDowall) has other plans.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTM0MzAwMTcwOV5BMl5BanBnXkFtZTcwNzY2NDQyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
Alice,"Alice Tate, mother of two, with a marriage of 16 years, finds herself falling for the handsome sax player, Joe. Stricken with a backache, she consults Dr. Yang, an oriental herbalist who realizes that her problems are not related to her back, but in her mind and heart. Dr. Yang's magical herbs give Alice wondrous powers, taking her out of well-established rut.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjIzMDE3Mjc5OV5BMl5BanBnXkFtZTcwNjI0NzMwMw@@._V1_UY268_CR16,0,182,268_AL_.jpg"
King Solomon's Mines,Adventurer Allan Quartermain leads an expedition into uncharted African territory in an attempt to locate an explorer who went missing during his search for the fabled diamond mines of King Solomon.,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTY3ODM5OTc0NV5BMl5BanBnXkFtZTcwNzMwNDYyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
And Then There Were None,"Ten people are invited for a weekend on an island by a mysterious stranger, but it turns out he isn't present. At dinner a record is played which accuses each one of the guests of having committed a murder. They soon begin to realize a crazed killer is stalking them.","https://images-na.ssl-images-amazon.com/images/M/MV5BNjIzZDg2YWUtZGEwOS00OGM5LTgwZTgtMGVhMTFiZDhjMjExXkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_UY268_CR4,0,182,268_AL_.jpg"
Wuthering Heights,"The Earnshaws are Yorkshire farmers during the early 19th Century. One day, Mr. Earnshaw returns from a trip to the city, bringing with him a ragged little boy called Heathcliff. Earnshaw's son, Hindley, resents the child, but Heathcliff becomes companion and soulmate to Hindley's sister, Catherine. After her parents die, Cathy and Heathcliff grow up wild and free on the Moors and despite the continued enmity between Hindley and Heathcliff they're happy-- until Cathy meets Edgar Linton, the son of a wealthy neighbor. Written by Marg Baskin","https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5MTQzMzQ0OV5BMl5BanBnXkFtZTgwNTk1MjA2MDE@._V1_UX182_CR0,0,182,268_AL_.jpg"
The Count of Monte Cristo,"Edmond DantÃÂÃÂ©s's life and plans to marry the beautiful Mercedes are shattered when his best friend, Fernand, deceives him. After spending 13 miserable years in prison, DantÃÂÃÂ©s escapes with the help of a fellow inmate and plots his revenge, cleverly insinuating himself into the French nobility.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1OTk3NTY2MV5BMl5BanBnXkFtZTYwNDMzOTg4._V1_UY268_CR1,0,182,268_AL_.jpg"
The Bourne Identity,"Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. However, Bourne realizes that he has the combat and mental skills of a world-class spy ÃÂ¢ÃÂÃÂ but who does he work for?","https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0ODU3OTE4OV5BMl5BanBnXkFtZTcwOTY1ODAyMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg"
Pennies from Heaven,"A musical set in the great Busby Berkeley style. In Chicago during the depression, sheet music salesman, Arthur Parker, is trying to sell his products, but it's not easy to convince unwilling music store owners to buy them. Although he's already married to the somewhat drab Joan, when he meets school teacher Eileen in a music store, he falls in love with her.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4NjU2NzIzNV5BMl5BanBnXkFtZTcwNDAzODUyMQ@@._V1_UY268_CR7,0,182,268_AL_.jpg"
Thief,"Frank is an expert professional safecracker, specialized in high-profile diamond heists. He plans to use his ill-gotten income to retire from crime and build a nice life for himself complete with a home, wife and kids. To accelerate the process, he signs on with a top gangster for a big score.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0NDI4NjI1MF5BMl5BanBnXkFtZTcwMDc0NjQzMQ@@._V1_UY268_CR41,0,182,268_AL_.jpg"
War and Peace,Napoleon's tumultuous relations with Russia including his disastrous 1812 invasion serve as the backdrop for the tangled personal lives of two aristocratic families.,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU5MzI5NDY2N15BMl5BanBnXkFtZTcwMzY4ODE3MQ@@._V1._CR26,69,259,352_UY268_CR7,0,182,268_AL_.jpg"
Into the West,"Accused of a crime they didn't commit, two city kids and a magical horse are about to become the coolest outlaws ever to ride Into The West.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1NTg4NTE2M15BMl5BanBnXkFtZTcwMzUwNjAzMQ@@._V1_UY268_CR9,0,182,268_AL_.jpg"
Journey to the Center of the Earth,An Edinburgh professor and assorted colleagues follow an explorer's trail down an extinct Icelandic volcano to the earth's center.,"https://images-na.ssl-images-amazon.com/images/M/MV5BZmRjODlmZjAtMjFmOS00YmFhLTlkMWUtY2ZlNTFiYjM1MDc0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjg0OTY4MzM@._V1_UY268_CR235,0,182,268_AL_.jpg"
Women in Love,"Close friends Rupert Birkin and Gerald Crich begin romances with siblings Ursula and Gudrun Brangwen. After the couples wed, they take a joint honeymoon to Switzerland, where things begin happily -- but they become increasingly complicated as the trip continues. Rupert and Ursula are determined to stay faithful to one another, while the aloof Gerald and the eccentric Gudrun turn to infidelity and sexual exploration.","https://images-na.ssl-images-amazon.com/images/M/MV5BZWE3NzYwYzQtZTczZi00ZjI1LThiNzAtOGNmYTg2MzlmYjZkXkEyXkFqcGdeQXVyNjQxNzY5MjA@._V1_UX182_CR0,0,182,268_AL_.jpg"
The Andromeda Strain,"When virtually all of the residents of Piedmont, New Mexico, are found dead after the return to Earth of a space satellite, the head of the US Air Force's Project Scoop declares an emergency. A group of eminent scientists led by Dr. Jeremy Stone scramble to a secure laboratory and try to first isolate the life form while determining why two people from Piedmont - an old alcoholic and a six-month-old baby - survived. The scientists methodically study the alien life form unaware that it has already mutated and presents a far greater danger in the lab, which is equipped with a nuclear self-destruct device designed to prevent the escape of dangerous biological agents..","https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwMDM0NzUyN15BMl5BanBnXkFtZTcwODk5MTE3MQ@@._V1_UY268_CR12,0,182,268_AL_.jpg"
The Andromeda Strain,"When virtually all of the residents of Piedmont, New Mexico, are found dead after the return to Earth of a space satellite, the head of the US Air Force's Project Scoop declares an emergency. A group of eminent scientists led by Dr. Jeremy Stone scramble to a secure laboratory and try to first isolate the life form while determining why two people from Piedmont - an old alcoholic and a six-month-old baby - survived. The scientists methodically study the alien life form unaware that it has already mutated and presents a far greater danger in the lab, which is equipped with a nuclear self-destruct device designed to prevent the escape of dangerous biological agents..","https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwMDM0NzUyN15BMl5BanBnXkFtZTcwODk5MTE3MQ@@._V1_UY268_CR12,0,182,268_AL_.jpg"
War and Peace,"Documentary about the nuclear sabre-rattling that has been going on between India and Pakistan. Comprised mostly of interviews with average folks on the street, the movie superbly demonstrates the gulf between the people's will and the greed of those in power.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTU5MzI5NDY2N15BMl5BanBnXkFtZTcwMzY4ODE3MQ@@._V1._CR26,69,259,352_UY268_CR7,0,182,268_AL_.jpg"
In Cold Blood,"A 1967 film based on Truman Capote's book of the same name. After a botched robbery results in the brutal murder of a rural family, two drifters elude police, in the end coming to terms with their own mortality and the repercussions of their vile atrocity.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTU5MDc4ODg5Nl5BMl5BanBnXkFtZTcwMzc4NTYxMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
The Missing,"When rancher and single mother of two Maggie Gilkeson sees her teenage daughter, Lily, kidnapped by Apache rebels, she reluctantly accepts the help of her estranged father, Samuel, in tracking down the kidnappers. Along the way, the two must learn to reconcile the past and work together if they are going to have any hope of getting Lily back before she is taken over the border and forced to become a prostitute.","https://images-na.ssl-images-amazon.com/images/M/MV5BNTk2NzU4OTc0Ml5BMl5BanBnXkFtZTgwNzcwNzMwNDE@._V1_UX182_CR0,0,182,268_AL_.jpg"
Jane Eyre,"After a harsh childhood, orphan Jane Eyre is hired by Edward Rochester, the brooding lord of a mysterious manor house to care for his young daughter.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ0NjkxNjk5Ml5BMl5BanBnXkFtZTcwNzA1MzI0MQ@@._V1._CR0,2,295,423_UY268_CR2,0,182,268_AL_.jpg"
Jane Eyre,"After a harsh childhood, orphan Jane Eyre is hired by Edward Rochester, the brooding lord of a mysterious manor house to care for his young daughter.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTMwMzUzMjg4MF5BMl5BanBnXkFtZTcwOTE4NzcyMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg"
Jesus Christ Superstar,"Oscar-nominated film adaptation of the rock opera of the same name, based on the last weeks before the crucifixion of Jesus. The film was directed by Norman Jewison. Ted Neeley and Carl Anderson were nominated for two 1974 Golden Globe Award for their portrayals of Jesus and Judas, respectively.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTgyNzg0NTI3OV5BMl5BanBnXkFtZTcwNTA4NTAzMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
Anna Karenina,In 19th century Russia a woman in a respectable marriage to a doctor must grapple with her love for a dashing soldier.,"https://images-na.ssl-images-amazon.com/images/M/MV5BOThlM2M3N2MtN2FjYy00MzUzLTkzNjQtNTlmMmRlM2RlYTM4XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UY268_CR7,0,182,268_AL_.jpg"
Wuthering Heights,"Young orphan Heathcliff is adopted by the wealthy Earnshaw family and moves into their estate, Wuthering Heights. Soon, the new resident falls for his compassionate foster sister, Cathy. The two share a remarkable bond that seems unbreakable until Cathy, feeling the pressure of social convention, suppresses her feelings and marries Edgar Linton, a man of means who befits her stature. Heathcliff vows to win her back.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5MTQzMzQ0OV5BMl5BanBnXkFtZTgwNTk1MjA2MDE@._V1_UX182_CR0,0,182,268_AL_.jpg"
